År;OBJECTID;Område;Antal sträckor;Sträckor med förekomster;GlobalID;Shape__Len;CreationDa;Creator;Observer;EditDate;Editor;Art;Bredd;Förekomst;Täthet;Varierande;Beståndet;OBJECTID_Beskrivning av verifieringssträcka 2021;Missades med bilen
2021;2;Heby;51;30;{61c9bb39-d4b9-42a3-93e2-ef571dd00983};1,11;2021-06-11;slpe0002@stud.slu.se_gis_slu;5;2021-06-11;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;1;Nej;Enstaka;Nej;Innerslänt;2;Ja
2021;3;Heby;51;30;{5df7ff33-bd7c-4a64-9287-0d5a627dd18c};21,63;2021-06-14;slpe0002@stud.slu.se_gis_slu;5;2021-06-14;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;1;Nej;Enstaka;Nej;Både inner och ytterslänt;4;Nej
2021;4;Heby;51;30;{1e71c96a-f5d2-469e-ab18-c33072bfc3a7};28,48;2021-06-14;slpe0002@stud.slu.se_gis_slu;5;2021-06-14;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;4;Ja;Tät 50-90%;Nej;Både inner och ytterslänt;4;Nej
2021;5;Heby;51;30;{24317e37-2a2c-45c6-94a2-ba6720c73494};31,74;2021-06-14;klso0001@stud.slu.se_gis_slu;4;2021-06-14;klso0001@stud.slu.se_gis_slu;Blomsterlupin;3;Nej;Tät 50-90%;Nej;Både inner och ytterslänt;4;Nej
2021;6;Heby;51;30;{8fdaf385-56da-481a-8d96-cd0f9b6d054c};7,66;2021-06-14;slpe0002@stud.slu.se_gis_slu;5;2021-06-14;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;2;Ja;Enstaka;Nej;Ytterslänt;4;Ja
2021;7;Heby;51;30;{b187ef33-ca31-49f0-8e45-4ca9609de968};42,5;2021-06-14;klso0001@stud.slu.se_gis_slu;4;2021-06-14;klso0001@stud.slu.se_gis_slu;Blomsterlupin;2;Ja;Gles <50%;Ja;Både inner och ytterslänt;4;Nej
2021;8;Heby;51;30;{ca90c136-ab5c-4a8a-82a7-1030df005881};10,63;2021-06-14;slpe0002@stud.slu.se_gis_slu;5;2021-06-14;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;1;Nej;Enstaka;Nej;Ytterslänt;4;Nej
2021;9;Heby;51;30;{4427f770-6dc7-412f-85a6-ffa024723ca7};10,3;2021-06-14;slpe0002@stud.slu.se_gis_slu;5;2021-06-14;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;2;Nej;Gles <50%;Nej;Innerslänt;6;Ja
2021;10;Heby;51;30;{20741405-9b66-4baf-9fc6-18ea9b8ed7dc};102,54;2021-06-14;klso0001@stud.slu.se_gis_slu;4;2021-06-14;klso0001@stud.slu.se_gis_slu;Blomsterlupin;4;Ja;Tät 50-90%;Ja;Både inner och ytterslänt;6;Nej
2021;15;Heby;51;30;{a39e481f-5212-4385-9e1a-43df68797620};13,78;2021-06-14;klso0001@stud.slu.se_gis_slu;4;2021-06-14;klso0001@stud.slu.se_gis_slu;Blomsterlupin;2;Ja;Tät 50-90%;Nej;Ytterslänt;9;Nej
2021;16;Heby;51;30;{4fa50f9a-6fd6-46fe-aea9-7b4039c031b1};19,08;2021-06-14;slpe0002@stud.slu.se_gis_slu;5;2021-06-14;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;2;Nej;Gles <50%;Nej;Både inner och ytterslänt;11;Nej
2021;17;Heby;51;30;{8dac3b79-b740-4643-9588-b9959a7edd50};48,24;2021-06-14;slpe0002@stud.slu.se_gis_slu;5;2021-06-14;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;1;Ja;Tät 50-90%;Ja;Ytterslänt;11;Nej
2021;18;Heby;51;30;{56c8e7ba-4a35-4c76-ba34-2d576806f831};308,61;2021-06-14;klso0001@stud.slu.se_gis_slu;4;2021-06-14;klso0001@stud.slu.se_gis_slu;Blomsterlupin;3;Ja;Tät 50-90%;Ja;Både inner och ytterslänt;11;Nej
2021;19;Uppsala;30;11;{48e9abc9-a9af-435a-91a0-f018dd961a7a};4,6;2021-06-14;klso0001@stud.slu.se_gis_slu;4;2021-06-14;klso0001@stud.slu.se_gis_slu;Blomsterlupin;1;Ja;Enstaka;Nej;Ytterslänt;13;Ja
2021;22;Uppsala;30;11;{d3799142-f111-442d-b97b-4acb08ab165b};56,05;2021-06-14;erica.johnson@slu.se_gis_slu;2;2021-06-14;erica.johnson@slu.se_gis_slu;Blomsterlupin;5;Ja;Dominerande >90%;Ja;Både inner och ytterslänt;24;Nej
2021;23;Uppsala;30;11;{1b106064-0a59-49c9-a708-f100ffb0198a};4,36;2021-06-14;erica.johnson@slu.se_gis_slu;2;2021-06-14;erica.johnson@slu.se_gis_slu;Blomsterlupin;1;Ja;Enstaka;Nej;Ytterslänt;24;Ja
2021;24;Uppsala;30;11;{be102e5c-bf4e-4ad4-9706-03aa56917a2e};15,07;2021-06-14;erica.johnson@slu.se_gis_slu;2;2021-06-14;erica.johnson@slu.se_gis_slu;Blomsterlupin;4;Nej;Tät 50-90%;Ja;Både inner och ytterslänt;24;Nej
2021;25;Uppsala;30;11;{ea5889c1-e325-4177-87c5-b71c4c053c99};8,97;2021-06-14;erica.johnson@slu.se_gis_slu;2;2021-06-14;erica.johnson@slu.se_gis_slu;Blomsterlupin;5;Ja;Tät 50-90%;Nej;Både inner och ytterslänt;24;Nej
2021;26;Heby;51;30;{bb64ebb5-ba34-49e0-b661-71bc72ee8e14};7,53;2021-06-15;klso0001@stud.slu.se_gis_slu;4;2021-06-15;klso0001@stud.slu.se_gis_slu;Blomsterlupin;1;Nej;Enstaka;Nej;Innerslänt;24;Nej
2021;27;Heby;51;30;{fae14aff-540e-4f57-a549-2fc047a0e6eb};63,76;2021-06-15;klso0001@stud.slu.se_gis_slu;4;2021-06-15;klso0001@stud.slu.se_gis_slu;Blomsterlupin;3;Ja;Tät 50-90%;Ja;Både inner och ytterslänt;27;Nej
2021;28;Uppsala;30;11;{7843aeb6-cc10-45f7-9e00-0c4aeaf3bf76};17,85;2021-06-15;klso0001@stud.slu.se_gis_slu;4;2021-06-15;klso0001@stud.slu.se_gis_slu;Blomsterlupin;1;Ja;Enstaka;Nej;Ytterslänt;13;Nej
2021;29;Uppsala;30;11;{0d99ab07-2cff-403a-90b0-8ea1fe5e7839};4,66;2021-06-15;sonja.reimer@slu.se_gis_slu;6;2021-06-15;sonja.reimer@slu.se_gis_slu;Blomsterlupin;2;Ja;Tät 50-90%;Nej;Ytterslänt;13;Nej
2021;30;Uppsala;30;11;{c859da77-36b1-4359-9ecb-5113a7237355};1,6;2021-06-15;sonja.reimer@slu.se_gis_slu;6;2021-06-15;sonja.reimer@slu.se_gis_slu;Blomsterlupin;1;Nej;Enstaka;Nej;Ytterslänt;13;Nej
2021;31;Heby;51;30;{c0cbbdff-1fc2-4783-90b1-47e5b5268cff};7,82;2021-06-15;klso0001@stud.slu.se_gis_slu;4;2021-06-15;klso0001@stud.slu.se_gis_slu;Blomsterlupin;1;Nej;Enstaka;Nej;Innerslänt;31;Ja
2021;32;Heby;51;30;{a947d74a-fd3e-4532-a454-d7e5377f08c7};154,37;2021-06-15;slpe0002@stud.slu.se_gis_slu;5;2021-06-15;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;3;Ja;Tät 50-90%;Ja;Både inner och ytterslänt;31;Nej
2021;33;Uppsala;30;11;{179e5ba3-72a7-43e7-a1a3-4afdcc7e174c};3,43;2021-06-15;klso0001@stud.slu.se_gis_slu;4;2021-06-15;klso0001@stud.slu.se_gis_slu;Blomsterlupin;1;Ja;Enstaka;Nej;Ytterslänt;22;Nej
2021;34;Heby;51;30;{adbaa355-9904-4354-baee-1a3287c44aa2};21,27;2021-06-15;klso0001@stud.slu.se_gis_slu;4;2021-06-15;klso0001@stud.slu.se_gis_slu;Blomsterlupin;3;Ja;Tät 50-90%;Nej;Både inner och ytterslänt;34;Nej
2021;35;Uppsala;30;11;{de69d31a-704c-4bb1-b377-0b9743c6bf6a};43,48;2021-06-15;sonja.reimer@slu.se_gis_slu;6;2021-06-15;sonja.reimer@slu.se_gis_slu;Blomsterlupin;6;Nej;Gles <50%;Ja;Både inner och ytterslänt;10;Nej
2021;36;Uppsala;30;11;{c36aae92-d073-4d91-97d7-877d7d738abe};82,75;2021-06-15;klso0001@stud.slu.se_gis_slu;4;2021-06-15;klso0001@stud.slu.se_gis_slu;Blomsterlupin;1;Nej;Tät 50-90%;Nej;Innerslänt;10;Nej
2021;37;Uppsala;30;11;{759d3748-5154-40b8-824f-fc6a96289a3e};18,68;2021-06-15;klso0001@stud.slu.se_gis_slu;4;2021-06-15;klso0001@stud.slu.se_gis_slu;Blomsterlupin;2;Ja;Gles <50%;Nej;Både inner och ytterslänt;17;Nej
2021;38;Heby;51;30;{f0766d7d-b72f-4f06-b2b5-f6bb604d2c45};13,82;2021-06-15;slpe0002@stud.slu.se_gis_slu;5;2021-06-15;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;2;Ja;Tät 50-90%;Nej;Både inner och ytterslänt;37;Ja
2021;39;Heby;51;30;{fdeaf6eb-cbb3-448b-a6ee-f542a6a18e9c};9,36;2021-06-15;klso0001@stud.slu.se_gis_slu;4;2021-06-15;klso0001@stud.slu.se_gis_slu;Blomsterlupin;1;Nej;Enstaka;Nej;Innerslänt;37;Ja
2021;40;Heby;51;30;{482e5291-d04b-40fe-9f6d-ea901b96d59a};15,03;2021-06-15;slpe0002@stud.slu.se_gis_slu;5;2021-06-15;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;2;Nej;Enstaka;Nej;Både inner och ytterslänt;39;Nej
2021;41;Uppsala;30;11;{f6fa11d7-2b88-4a3b-898c-58426a3fb856};39,79;2021-06-16;slpe0002@stud.slu.se_gis_slu;5;2021-06-16;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;2;Ja;Gles <50%;Ja;Både inner och ytterslänt;41;Nej
2021;42;Uppsala;30;11;{78128d04-3276-48f5-8608-6bcd49d02a28};3,27;2021-06-16;slpe0002@stud.slu.se_gis_slu;5;2021-06-16;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;1;Nej;Enstaka;Nej;Innerslänt;41;Ja
2021;43;Uppsala;30;11;{c7ccbc7a-af42-4089-9239-aaef8ee93c58};3,86;2021-06-16;slpe0002@stud.slu.se_gis_slu;5;2021-06-16;slpe0002@stud.slu.se_gis_slu;Blomsterlupin;1;Nej;Enstaka;Nej;Innerslänt;41;Ja
2021;44;Uppsala;30;11;{ac6fcb64-cdab-4bd7-8a89-59c0e66217ab};1,95;2021-06-16;erica.johnson@slu.se_gis_slu;2;2021-06-16;erica.johnson@slu.se_gis_slu;Blomsterlupin;1;Nej;Enstaka;Nej;Innerslänt;42;Nej
